DATE,AUTHOR,TWEET
2016-11-08 00:29:06,ChrisDilmmea,"RT @LetsGoHillary: #ImVotingBecause Donald #Trump Is #Unfit To Hold The #Nuclear Codes
#SystemIsRigged #VoteYourConscience
#ImWithHer' "
2016-11-08 00:29:06,WOMEN4ACAUSE,RT @usnews: .@HillaryClinton's #PantsuitNation is ready for election day https://t.co/2KYJPJwkbS https://t.co/H7nMTQMYzL
2016-11-08 00:29:06,mckinlay_liz,RT @JoanMcAlpine: Phew! The world can breathe easy - the goat's called for @HillaryClinton https://t.co/8JbCXGateO #USElections2016
2016-11-08 00:29:06,DonnaTweeted,RT @NARAL: Proud #MenForChoice: @joekennedy &amp; NARAL organizer Blake working to #GOTV for @Maggie_Hassan &amp; @HillaryClinton!' 
2016-11-08 00:29:06,crystle_milik,"RT @MMAfightfans: ' #TrumpPence16 NEVER, NEVER DISHONEST ' @HillaryClinton #Credibility Cannot Be Bought~ https://t.co/55ucXEd4nn"
2016-11-08 00:29:06,WyattHull312,"RT @zachhaller: #ImVotingBecause I oppose virtually everything @HillaryClinton stands for &amp;

all Americans must unite to defeat her https:/'"
2016-11-08 00:29:06,SheriCarter18,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:06,niggasbaby,"RT @keepromoting5H: Listen and Watch ""THAT'S MY GIRL"" by @FifthHarmony , the girls are with @HillaryClinton  #ThatsMyGirlHillary"
2016-11-08 00:29:06,MaryJHecht1,I'm praying for her to win! @HillaryClinton
2016-11-08 00:29:07,marcoarobinson,NO WAY https://t.co/4Mdby0tGJo
2016-11-08 00:29:07,imadoggymama,RT @NRA: .@HillaryClinton: An out-of-touch hypocrite who will leave YOU defenseless! #2A #ElectionFinalThoughts #NeverHillary https://t.co/'
2016-11-08 00:29:07,SantoriniBoo,"RT @CorrectRecord: As a Senator from New York, @HillaryClinton fought to secure funds for 9/11 first responders.' "
2016-11-08 00:29:06,lalacatgoddess,RT @VanJones68: THIS IS THE BIGOTRY WE MUST DEFEAT -- TOMORROW. Please RT and share everywhere. @realDonaldTrump #ImWithHer' 
2016-11-08 00:29:06,TrotAlex,"#Obama to #Michigan : I Need You to Carry #HillaryClinton to Victory

https://t.co/1xK4ClsB2t https://t.co/QrLcdJS4gW"
2016-11-08 00:29:07,LWMcV,"RT @BruceBourgoine: Ken Burns on Trump's presidential run: 'Let's make this nightmare history' 
#nhpolitics #mepolitics #p2 #ImWithHer http'"
2016-11-08 00:29:07,Fenty2425,"RT @MMAfightfans: ' #TrumpPence16 NEVER, NEVER DISHONEST ' @HillaryClinton #Credibility Cannot Be Bought~ https://t.co/55ucXEd4nn"
2016-11-08 00:29:07,Granniegal,RT @davidaxelrod: She's @realDonaldTrump problem in a nutshell: college-educated; Latina; @GOP activist--&amp; voting for @HillaryClinton. http'
2016-11-08 00:29:07,lipsky_julene,"RT @MMAfightfans: ' #TrumpPence16 NEVER, NEVER DISHONEST ' @HillaryClinton #Credibility Cannot Be Bought~ https://t.co/55ucXEd4nn"
2016-11-08 00:29:07,zacfrcn,RT @BeyonceTitan: Obama's last hours before knowing the next US President ' #Vote #ImWithHer ' https://t.co/iRNLxICi6B
2016-11-08 00:29:07,vinegaralcohol,RT @BlkMan4Trump: #Hillary supporters.. How many Syrian refugee's are you willing to let live with you? I hope you reap what you sow' 
2016-11-08 00:29:07,Catherine091259,RT @realgrace31: Let's go team humanity! ' #PodestaEmails34 https://t.co/ay5MEPVTpS
2016-11-08 00:29:07,HAL9000and1,Who are you voting for Zach? https://t.co/Rzwq6CSFTr
2016-11-08 00:29:07,DeplorableKings,RT @USAneedsTRUMP: @wikileaks @theblaze @HillaryClinton should be disqualified
2016-11-08 00:29:07,bruce_laslie,@RiggedDebate @DineshDSouza @HillaryClinton whats that a deplorable asshat Jay Z.Clinton cronies there all the same.
2016-11-08 00:29:07,Brian_Larry2u,"RT @bfraser747: ' #HillaryIndictment 

It would be INSANE to vote 4 #Hillary &amp; her #MuslimBrotherhood 
#PartnerInCrime likely chie' "
2016-11-08 00:29:07,TheLoyalTen,"So @billclinton &amp; @HillaryClinton capable o c truth, in small bites, in private of course
#ClintonKaine https://t.co/pN9tmjFhAs"
2016-11-08 00:29:07,soapdemon34,RT @ghoulette27: Michigan: Here's an easy way to find your polling location and make your plan to vote. https://t.co/qeHRPaxPZH #ImWithHer
2016-11-08 00:29:07,nodems16,"RT @mrtom3560: BOOM &gt;GOVT BLS&lt; ""JOBS GOES TO FOREIGN BORN"" https://t.co/OGRyISJX0b  #ImWithHer https://t.co/3RXevWkASf ' "
2016-11-08 00:29:07,JebBlount,Another Trump lie: That he gives tens of millions to charity. #Trump #Clinton #Elections2016 https://t.co/mEcZLvPJjZ
2016-11-08 00:29:07,Air2Vent,@kbjdfsjkbbjk #ImVotingBecause of the #BillClinton sex victims and how #Hillary called them #WhiteTrash #Whores' https://t.co/vpQWkj07v2
2016-11-08 00:29:07,jo_jo64vette,RT @NRA: .@HillaryClinton: An out-of-touch hypocrite who will leave YOU defenseless! #2A #ElectionFinalThoughts #NeverHillary https://t.co/'
2016-11-08 00:29:07,md_stelzer,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:07,TheWalknBabes,RT @PVeritas_Action: .@HillaryClinton corruption so deep that staf doesn't worry about destroying ballots or committing sexual assault http'
2016-11-08 00:29:07,Jillwhe75622310,@Freedomologist @HillaryClinton wrong- best reason is her opponent
2016-11-08 00:29:07,Mrs_FiFi,RT @France4Hillary: #ImVotingBecause I refuse to elect a sexually assaulting psychopath who is working as a Russian agent. #ImWithHer' 
2016-11-08 00:29:07,John_C_Barnett,"https://t.co/G7jHXDGGYE

@HillaryClinton's final ad of the 2016 campaign.

Tomorrow is looking like it will be a good day.

#ImWithHer"
2016-11-08 00:29:07,Happy_Dem,@RaleighReporter LMAO @realDonaldTrump doesn't know anything about anything #NeverTrump
2016-11-08 00:29:07,danquasch,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:07,heartfiIIia,"RT @JLo: Tomorrow, Let's Get Loud! #VOTE #ImWithHer' https://t.co/Xazgb3TyRU"
2016-11-08 00:29:07,Ez4u2say_Janis,"RT @WeNeedHillary: ""Carry her like you carried me."" -President Obama
#p2 #ctl #ImWithHer #TNTweeters #HillaryClinton #UniteBlue https://t.c'"
2016-11-08 00:29:07,cindy7752002,RT @USAforTrump2016: BREAKING!!!! NEW #PodestaEmails34 just released!!!!!! START DIGGING!!! https://t.co/cBWHj0TB73
2016-11-08 00:29:07,deploableDrea,"RT @EmmaVigeland: CONFIRMED-- @HillaryClinton and her campaign met with Super PAC @prioritiesUSA, which is against the law. Jeez.' "
2016-11-08 00:29:07,michael_mosher,RT @marklar1969: This is one of the most intelligent posts I have seen for not voting for @HillaryClinton.. She will ruin it for any' 
2016-11-08 00:29:08,AmosGraber,@zachhaller @HillaryClinton #RememberWhen Americans didn't admit being a coward? U should fear nothing! since u r proves ur indoctrination
2016-11-08 00:29:08,elknight20,"RT @MichaelKorteDuh: walking into that voting both tomorrow like
#imwithher @Lavernecox https://t.co/pfMfjVDbdp"
2016-11-08 00:29:08,pattyleeme,@VanJones68 @realDonaldTrump @HillaryClinton Unbelievable and incredibly heartbreaking couldn't even finish breakfast.....
2016-11-08 00:29:08,tk_red_devil,RT @kalhan: The endless line to get in to @HillaryClinton's Philadelphia rally (and it's not going to take 14 minutes).... https://t.co/Uqs'
2016-11-08 00:29:08,bkaytaylor01,RT @anildash: It is worth noting that @HillaryClinton's tech policy platform is (unsurprisingly) the most detailed one ever: https://t.co/m'
2016-11-08 00:29:08,maryfittro,RT @peterdaou: TAKE NOTE: #Hillary exonerated by FBI for the second time while @realDonaldTrump is going to trial in 3 weeks for Trump Univ'
2016-11-08 00:29:08,RealPreserve,"HILLARY THE ENABLER
#TrumpPence16 #MAGA3x #ImWithHer #WithHerFirst #WithHer2016 #ClintonKaine2016 #ClintonKaine' https://t.co/rq1reSpzd7"
2016-11-08 00:29:08,mcvorious,@CNN how crooked @HillaryClinton really is. Only fools would vote for her.
2016-11-08 00:29:08,tami8581,"RT @typicalkevinn: #ImVotingBecause If Trump wins, so will the bullies, the racists, the sexual predators #ElectionFinalThoughts #NeverTrump"
2016-11-08 00:29:08,kyky78989,@HillaryClinton I'd vote for you 2
2016-11-08 00:29:08,AlwaysGrowing00,RT @girlsreallyrule: #ImVotingBecause I have a BIG brain and a BIG heart and I vote my interests. #ImWithHer
2016-11-08 00:29:08,brownlegal,"RT @Harlan: FBI's last minute, 1 week investigation of @HillaryClinton is either most efficient thing US Gov has ever done... Or total BS.'"
2016-11-08 00:29:08,Raaymaart,RT @LaurenJauregui: Freakin out about Election Day lol make sure you all go out and VOTEEEEE TOMORROW!! #imwithHER
2016-11-08 00:29:08,heiserkathy,"RT @zachhaller: #ImVotingBecause I oppose virtually everything @HillaryClinton stands for &amp;

all Americans must unite to defeat her https:/'"
2016-11-08 00:29:08,VivourTina,RT @BretBaier: New @foxnewspoll: Who has temperament serve as President? 60% say @HillaryClinton does and 37% say @realDonaldTrump' 
2016-11-08 00:29:08,TyraFrissora,"RT @willyclicks: A Vote For Hillary is a Vote For World War 3! 

Are you 'with her' nuclear holocaust?

https://t.co/0M5FBW1y7j

#HillaryCl'"
2016-11-08 00:29:08,VonnieGuzzone,"RT @trumpUni: Thanks for following, retweeting &amp; posting with us. We hope we made a difference. Pls vote for @HillaryClinton.  https://t.co'"
2016-11-08 00:29:08,rtyson82,RT @wikileaks: RELEASE: The Podesta Emails Part 34 #PodestaEmails #PodestaEmails34 #HillaryClinton #imWithHer' 
2016-11-08 00:29:08,Cynthiahennig1,RT @Darren32895836: @HillaryClinton Blatantly Stole the Election frm @BernieSanders so why wouldn't She attempt to steal frm Donald Tru' 
2016-11-08 00:29:09,941zbq,Dave voted for @HillaryClinton...but he's not real happy about it.  https://t.co/pTrgKbPkRr
2016-11-08 00:29:09,bellamcphee,"Finally seeing @FalsettosBway tomorrow!!! And later hopefully celebrating our first female president,the super fierce KWEEN @HillaryClinton"
2016-11-08 00:29:09,reina_choury,"RT @willyclicks: A Vote For Hillary is a Vote For World War 3! 

Are you 'with her' nuclear holocaust?

https://t.co/0M5FBW1y7j

#HillaryCl'"
2016-11-08 00:29:09,JulieTexas12,"RT @CDDLiberty11: WOW! Big Day Tomorrow! Who will WIN?

#Election2016 #ElectionNight #TrumpPence16 #Clinton #MAGA #DaylightSavingTime #Elec'"
2016-11-08 00:29:09,Oooooo_Donna,@ReversingASD @ananavarro @ChrisCuomo @HillaryClinton You are not reading them with knowledge. This man was called' https://t.co/kiKSHaRxGo
2016-11-08 00:29:09,kaioticone,@HillaryClinton @SenSanders #JailHillary #liesdomatter #Bernie2016 Bernie it is time to b a man and tell the world' https://t.co/LL8sER7qZz
2016-11-08 00:29:09,CLsmoothD,RT @Essence: An exclusive look to why @SisterSledge_ reunited to back @HillaryClinton:  https://t.co/2UMHm2UU7m https://t.co/JMGqs4VgpZ
2016-11-08 00:29:09,cdfrcr1984,"RT @TheImusShow: So, @realDonaldTrump    was offended by the language used by Jay-Z at a 'Get Out the Vote' concert.' "
2016-11-08 00:29:09,HiIllaryClinton,"What Do We Have to Lose? Freedom, protection of the innocent, 1st and 2nd Amendment rights, accountability in gov' Not too much. #ImWithHer"
2016-11-08 00:29:09,rfh02,@PatrickSvitek @GregAbbott_TX @HillaryClinton Thank god the GOP only targets persons of Mexican ancestry &amp; Muslims.
2016-11-08 00:29:09,jilljo1,"@HillaryClinton Everyone Please get up and go out and vote rain or shine hot or cold, we can't be complacent remenber 2000!"
2016-11-08 00:29:09,earthmom07,@UNHumanRights @UNGeneva @amnesty @JudgeJeanine @StevePieczenik @PreetBharara How many Laws does she get to break?' https://t.co/VzXwm7RW7y
2016-11-08 00:29:09,WOMEN4ACAUSE,"RT @ngalliga: So #pantsuitnation is now 2,000,000 strong and counting for @HillaryClinton! We are with her! #Election2016 #ImWithHer"
2016-11-08 00:29:09,KimberlyaK0y7,"RT @LetsGoHillary: #ImVotingBecause Donald #Trump Is #Unfit To Hold The #Nuclear Codes
#SystemIsRigged #VoteYourConscience
#ImWithHer' "
2016-11-08 00:29:09,Never_ever5,"RT @trumpfnd: Ivanka Trump Reported for Trade Violations Involving Iran 

Statement @KeepAmerGr8 below #amjoy #ImWithHer #dems' "
2016-11-08 00:29:09,Avaaustin16,"RT @CanadaFadi: Who you are voting for : '
@realDonaldTrump 
@HillaryClinton 
#ImVotingBecause
#ElectionFinalThoughts 
Retweet to support'"
2016-11-08 00:29:09,AlexHamUSA,@HeroAssange @HillaryClinton wait what happened to the clintonite meme person?
2016-11-08 00:29:09,MenaBurke,Probably figured it was the only way to get a split screen while #Springsteen was on.  #ImWithHer  https://t.co/HrQh2pbngH
